Date,Site,Benthic,Points,Cover
28/03/2023,A,Rubble,18,30
28/03/2023,A,Coral,42,70
29/03/2023,B,Rubble,20,33.3
29/03/2023,B,Coral,40,66.7
29/03/2023,C,Rubble,31,51.7
29/03/2023,C,Coral,23,38.4
29/03/2023,C,Soft coral,6,10
30/03/2023,D,Anemone,1,1.7
30/03/2023,D,Coral,30,50
30/03/2023,D,Rubble,29,48.3
30/03/2023,E,Coral,25,41.6
30/03/2023,E,Rubble,16,26.7
30/03/2023,E,Soft coral,19,31.7
31/03/2023,F,Coral,34,56.7
31/03/2023,F,Soft coral,10,16.7
31/03/2023,F,Rubble,16,26.7
31/03/2023,G,Sand,19,31.7
31/03/2023,G,Rubble,16,26.7
31/03/2023,G,Soft coral,8,13.3
31/03/2023,G,Coral,16,26.7
31/03/2023,G,Rock,1,1.7
01/04/2023,H,Rubble,11,18.3
01/04/2023,H,Coral,30,50
01/04/2023,H,Pavement,2,3.3
01/04/2023,H,Algae,2,3.3
01/04/2023,H,Sand,15,25
01/04/2023,I,Coral,29,48.3
01/04/2023,I,Rubble,30,50
01/04/2023,I,Sand,1,1.7
02/04/2023,J,Algae,17,28.3
02/04/2023,J,Coral,39,65
02/04/2023,J,Sand,4,6.7
02/04/2023,K,Rubble,6,10
02/04/2023,K,Coral,30,50
02/04/2023,K,Algae,1,1.7
02/04/2023,K,Sand,23,38.3
04/04/2023,L,Coral,33,55
04/04/2023,L,Rubble,11,18.3
04/04/2023,L,Rock,16,26.7
04/04/2023,M,Coral,36,60
04/04/2023,M,Rock,6,10
04/04/2023,M,Sand,9,15
04/04/2023,M,Algae,7,11.7
04/04/2023,M,Soft coral,2,3.3
04/04/2023,N,Coral,35,58.3
04/04/2023,N,Soft coral,3,5
04/04/2023,N,Rubble,10,16.7
04/04/2023,N,Algae,10,16.7
04/04/2023,N,Rock,2,3.3
05/04/2023,O,Coral,33,55.1
05/04/2023,O,Sand,7,11.7
05/04/2023,O,Rubble,14,23.3
05/04/2023,O,Soft coral,6,10
05/04/2023,P,Sand,60,100
05/04/2023,Q,Rock,25,41.7
05/04/2023,Q,Coral,24,40
05/04/2023,Q,Sand,2,3.3
05/04/2023,Q,Rubble,9,15
06/04/2023,R,Coral,26,43.3
06/04/2023,R,Rubble,19,31.7
06/04/2023,R,Algae,10,16.7
06/04/2023,R,Soft coral,2,3.3
07/04/2023,S,Sand,4,6.7
07/04/2023,S,Coral,51,85
07/04/2023,S,Soft coral,1,1.7
07/04/2023,S,Rubble,4,6.7
07/04/2023,T,Coral,31,51.7
07/04/2023,T,Rubble,9,15
07/04/2023,T,Algae,20,33.3
08/04/2023,U,Coral,30,50
08/04/2023,U,Rubble,18,30
08/04/2023,U,Soft coral,7,11.7
08/04/2023,U,Algae,5,8.3
08/04/2023,V,Coral,39,65
08/04/2023,V,Algae,12,20
08/04/2023,V,Rubble,9,15
