Source,ID,d15N,d13C
Turf_,A_01,5.78,-11.66
Turf_,C_01,7.35,-11.62
Turf_,E_01,8.01,-13.92
Turf_,G_05,6.45,-9.16
Turf_,H_01,5.4,-8.27
Turf_,I_01,6.01,-9.84
Turf_,A_02,6.33,-12.04
Turf_,J_01,6.6,-9.51
Turf_,F_01,5.08,-9.74
Turf_,C_02,5.62,-6.97
Turf_,F_03,5.97,-9.73
Turf_,E_02,5.72,-7.5
Turf_,G_04,4.84,-7.63
Turf_,H_02,5.58,-3.9
Turf_,J_02,6.15,-7.99
Turf_,C_03,4.83,-6.56
Turf_,A_03,4.65,-6.51
Turf_,E_03,6.38,-6.47
Turf_,F_05,5.38,-7.26
Turf_,G_03,4.65,-8.6
Turf_,H_03,5.95,-4.63
Turf_,I_03,5.81,-9.9
Turf_,J_03,6.39,-7.47
Turf_,C_05,5.26,-7.74
Turf_,E_05,5.95,-9.37
Turf_,F_02,5.15,-9.32
Turf_,G_01,5.55,-9.2
Turf_,A_04,5.14,-6.77
Turf_,C_04,5.63,-9.73
Turf_,J_04,6.61,-9.68
Turf_,I_04,5.8,-8.26
Turf_,G_02,5.97,-14.86
Turf_,F_04,4.53,-8.89
Turf_,E_04,5.72,-12.46
Turf_,H_05,5.74,-4.52
Turf_,I_05,6.19,-9.21
Turf_,J_05,6.16,-13.27
Turf_,B_01,6.32,-7.58
Turf_,D_01,5.65,-6.84
Turf_,K_01,4.79,-10.23
Turf_,B_02,5.05,-7.44
Turf_,D_02,5.67,-8.46
Turf_,B_03,5.86,-10.23
Turf_,D_04,6.29,-12.98
Turf_,K_02,6.53,-8.74
Turf_,K_03,5.49,-11.54
Turf_,B_04,5.55,-6.72
Turf_,D_03,6.47,-11.31
Turf_,K_04,5.68,-11.04
Turf_,B_05,6.62,-7.29
Turf_,D_05,6,-8.88
Turf_,K_05,5.67,-10.66
Turf_,L_01,7.1,-9.36
Turf_,L_02,6.71,-11.08
Turf_,L_03,6.95,-14.31
Turf_,L_04,7.16,-6.74
Sponge_,M_01,7.48,-17.98
Sponge_,M_02,7.17,-19.63
Sponge_,M_03,7.71,-17.42
Sponge_,M_04,7.57,-17.99
Sponge_,M_05,7.56,-17.27
Turf_,M_01,6.32,-12.49
Turf_,M_02,6.12,-8.48
Turf_,M_03,6.64,-11.14
Turf_,M_04,6.73,-12.07
Turf_,M_05,6.41,-11.16
Turf_,N_01,6.22,-11.1
Turf_,N_02,6.28,-9.31
Turf_,N_03,6.41,-12.15
Turf_,N_05,6.19,-10.31
Turf_,N_04,6.38,-11.1
Sponge_,N_01,8.03,-15.91
Sponge_,N_02,8.01,-16.71
Sponge_,N_03,7.87,-15.6
Sponge_,N_04,7,-17.7
Sponge_,N_05,7.74,-18.76
Turf_,O_01,5.53,-18.83
Turf_,O_02,5.24,-9.04
Turf_,O_03,5.55,-10.61
Turf_,O_04,5.17,-6.97
Sponge_,O_01,5.32,-11.42
Sponge_,O_02,8.11,-15.26
Sponge_,O_03,7.19,-15.08
Sponge_,P_01,8.33,-16.75
Sponge_,P_02,8.37,-16.95
Sponge_,P_03,8.56,-15.89
Sponge_,P_04,8.93,-12.92
Sponge_,P_05,8.68,-15.45
Sponge_,Q_01,9.05,-15.41
Sponge_,Q_02,8.73,-15.34
Sponge_,Q_03,10.1,-11.61
Sponge_,Q_04,8.63,-16.59
Sponge_,Q_05,8.31,-13.52
Turf_,P_01,5.53,-9.99
Turf_,P_02,5.55,-8.49
Turf_,P_03,6.33,-18.76
Turf_,P_04,4.95,-6.65
Turf_,P_05,5.08,-7.08
Turf_,Q_01,4.35,-7.3
Turf_,Q_02,5.66,-18.81
Turf_,Q_03,5.84,-20.53
Turf_,Q_05,5.49,-7.06
Turf_,R_01,5.47,-7.42
Turf_,Q_04,6.47,-8.56
Turf_,R_02,4.62,-12.86
Turf_,R_03,5.4,-10.6
Turf_,R_04,4.9,-17.72
Turf_,R_05,5.19,-13.8
Sponge_,R_01,8.22,-17.2
Sponge_,R_02,6.3,-8.79
Sponge_,R_03,6.42,-12.71
Turf_,S_01,5.47,-11.86
Turf_,S_02,5.59,-12.66
Turf_,S_03,5.75,-10.03
Turf_,S_04,5.55,-9.63
Sponge_,S_03,8.15,-16.17
Sponge_,S_02,9.19,-16.06
Sponge_,S_01,8.24,-18.27
Sponge_,S_05,6.31,-11.97
Turf_,T_02,5.89,-12.91
Turf_,T_01,5.5,-12.12
Sponge_,S_04,8.74,-15.94
Turf_,T_03,6.2,-15.52
Turf_,T_04,5.31,-12.03
Turf_,T_05,5.97,-12.68
Sponge_,T_01,7.35,-18.08
Sponge_,T_02,7.38,-18.58
Sponge_,T_03,7.51,-17.66
Sponge_,T_04,7.62,-18.18
Sponge_,T_05,7.72,-17.03
Turf_,U_02,5.68,-12.42
Turf_,U_03,5.53,-15.52
Turf_,U_04,4.94,-14.52
Sponge_,U_01,7.61,-17.15
Sponge_,U_02,9.58,-14.47
Sponge_,U_03,10,-13.48
Sponge_,V_03,9.6,-18.29
Sponge_,U_05,6.78,-11.27
Turf_,V_01,8.13,-10.87
Turf_,V_03,6.45,-8.7
Turf_,V_04,6.82,-9.65
Sponge_,V_01,8.55,-18.03
Sponge_,V_02,9.63,-17.3
Sponge_,V_04,8.92,-17.86
Sponge_,U_04,9.77,-17.86
Sponge_,V_05,9.7,-17.57
