Date,Site,Area,GENSPE,TL
28/03/2023,A,150,Abudefduf sexfasciatus,12
28/03/2023,A,150,Abudefduf sexfasciatus,13
29/03/2023,B,150,Abudefduf sexfasciatus,8
29/03/2023,B,150,Abudefduf sexfasciatus,8
29/03/2023,B,150,Abudefduf sexfasciatus,8
29/03/2023,B,150,Abudefduf sexfasciatus,8
29/03/2023,C,150,Abudefduf sexfasciatus,8
29/03/2023,C,150,Abudefduf sexfasciatus,8
29/03/2023,C,150,Abudefduf sexfasciatus,8
29/03/2023,C,150,Abudefduf sexfasciatus,8
29/03/2023,C,150,Abudefduf sexfasciatus,8
29/03/2023,C,150,Abudefduf sexfasciatus,8
31/03/2023,G,150,Abudefduf sexfasciatus,13
31/03/2023,G,150,Abudefduf sexfasciatus,13
31/03/2023,G,150,Abudefduf sexfasciatus,13
31/03/2023,G,150,Abudefduf sexfasciatus,13
31/03/2023,G,150,Abudefduf sexfasciatus,13
31/03/2023,G,150,Abudefduf sexfasciatus,13
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
05/04/2023,O,150,Abudefduf sexfasciatus,7
