"d13C","d15N","Location","Depth"
NA,NA,"High",6.5
NA,NA,"High",6.5
NA,NA,"High",6.5
NA,NA,"High",6.5
NA,NA,"Low",4
NA,NA,"Low",4
NA,NA,"Low",4
NA,NA,"Low",4
NA,NA,"Low",4
-15.26,9.95,"High",6
-13.82,9.53,"High",6
-18.36,10.79,"High",6
-16.87,9.75,"Low",5
-15.05,10.72,"High",8
-14.91,10.71,"High",8
-15,9.89,"High",5.5
-13.7,9.35,"Low",3.5
-15.05,8.93,"Low",3.5
-14.65,9.08,"Low",3.5
NA,NA,"Low",3.5
-16.09,9.12,"Low",3
-17.98,10.61,"Low",3
-15.2,8.87,"Low",3
-15.09,10.04,"High",5
-14.19,9.89,"High",5
-13.82,10.24,"High",7.5
-15.05,9.55,"High",8.5
-18.07,9.88,"High",8.5
