"d13C","d15N","Location","Depth"
NA,NA,"High",6.5
NA,NA,"High",6.5
NA,NA,"High",6.5
NA,NA,"High",6.5
NA,NA,"Low",8
NA,NA,"Low",8
NA,NA,"Low",8
NA,NA,"Low",8
NA,NA,"Low",8
NA,NA,"Low",8
NA,NA,"Low",8
NA,NA,"Low",8
NA,NA,"Low",8
NA,NA,"Low",4
NA,NA,"High",9.5
NA,NA,"High",9.5
-15.77,11.27,"High",6
-15.73,11.33,"High",6
-15.81,10.89,"High",6
-14.91,10.72,"High",6
-15.44,10.73,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
-16.31,11.37,"Low",6
-16.98,10.58,"Low",6
-16.33,10.78,"Low",6
-16.62,11.13,"Low",6
-15.76,10.54,"Low",6
NA,NA,"Low",6
NA,NA,"Low",6
-14.33,10.28,"Low",5
-15.3,10.07,"Low",5
-15.94,11.55,"Low",5
-15.84,10.97,"Low",5
-15.05,9.7,"Low",5
NA,NA,"Low",5
NA,NA,"Low",5
NA,NA,"Low",5
NA,NA,"Low",5
NA,NA,"Low",5
NA,NA,"Low",5
NA,NA,"Low",5
NA,NA,"Low",5
NA,NA,"Low",5
NA,NA,"Low",5
NA,NA,"Low",5
NA,NA,"High",4.5
-13.49,10.98,"High",4.5
-13.53,10.87,"High",4.5
-13.63,10.48,"High",4.5
NA,NA,"High",4.5
-13.74,11.12,"High",4.5
NA,NA,"High",4.5
-13.48,10.91,"High",4.5
NA,NA,"High",4.5
NA,NA,"High",4.5
NA,NA,"High",4.5
-12.72,10.99,"High",2.5
-14.87,10.62,"High",5.5
-13.79,10.45,"High",5.5
NA,NA,"Low",3.5
NA,NA,"Low",3.5
-13.68,10.2,"Low",3.5
NA,NA,"Low",3.5
-13.76,9.6,"Low",3.5
-14.37,9.55,"Low",3.5
-13.83,10.08,"Low",3.5
-13.68,9.51,"Low",3.5
NA,NA,"Low",3.5
NA,NA,"Low",3.5
NA,NA,"Low",3.5
-13.54,10,"Low",3
-13.59,9.84,"Low",3
NA,NA,"Low",3
NA,NA,"Low",3
-14.26,10.38,"Low",3
NA,NA,"Low",3
-13.66,10.33,"Low",3
NA,NA,"Low",3
NA,NA,"Low",3
NA,NA,"Low",3
NA,NA,"Low",3
NA,NA,"Low",3
-13.99,11,"High",5
NA,NA,"High",5
NA,NA,"High",5
NA,NA,"High",5
-16.8,10.84,"Low",9
-16.23,10.72,"Low",9
-16.28,11.08,"Low",9
-16.59,10.95,"Low",9
-18.11,10.69,"High",7.5
-15.91,10.96,"High",7.5
